Checking CSS leakage...

❌ CSS LEAKAGE DETECTED

| Partial | Class | Defined In |
|---|---|---|
| actionQueue | `.actionQueueLoading` | undefined |
| actionQueue | `.context-menu-trigger` | undefined |
| bmc | `.view-refresh-label` | styles.css, views/marketingOps.css |
| bmc | `.skeleton-stack` | undefined |
| commitments | `.commitmentsLoading` | undefined |
| commitments | `.kanban-empty` | styles.css, views/marketingOps.css |
| crm | `.view-refresh-label` | styles.css, views/marketingOps.css |
| crm | `.mktops-tabs` | styles.css, views/marketingOps.css |
| crm | `.skeleton-stack` | undefined |
| crm | `.area-card-button` | styles.css, views/marketingOps.css |
| crm | `.compact-empty-state` | styles.css, views/marketingOps.css |
| crm | `.data-card-button` | styles.css, views/marketingOps.css |
| crm | `.detail-panel` | styles.css, views/bmc.css |
| crm | `.detail-panel-header` | styles.css, views/bmc.css |
| crm | `.detail-panel-body` | styles.css, views/bmc.css |
| crm | `.detail-row` | styles.css, views/bmc.css |
| crm | `.detail-label` | styles.css, views/bmc.css |
| crm | `.detail-value` | styles.css, views/bmc.css |
| daily-sales | `.dc-icon-sm` | views/dan-colin.css |
| daily-sales | `.ds-weekly-chart` | undefined |
| daily-sales | `.ds-geo-row` | undefined |
| daily-sales | `.realized` | undefined |
| daily-sales | `.status` | undefined |
| daily-sales | `.all` | undefined |
| daily-sales | `.acceptance` | undefined |
| daily-sales | `.Accepted` | undefined |
| daily-sales | `.Awaiting` | undefined |
| daily-sales | `.Rejected` | undefined |
| daily-sales | `.date` | undefined |
| daily-sales | `.state` | undefined |
| daily-sales | `.ds-drill-sheet--visible` | undefined |
| dan-colin | `.dropSubmitSuccess` | undefined |
| dan-colin | `.dcAnswerFocused` | undefined |
| dan-colin | `.watchExpanded` | undefined |
| dan-colin | `.closedExpanded` | undefined |
| dashboard | `.view-refresh-label` | styles.css, views/marketingOps.css |
| dashboard | `.dashboardLoading` | undefined |
| dashboard | `.dc-icon-sm` | views/dan-colin.css |
| dashboard | `.health-strip` | styles.css, views/factory.css |
| dashboard | `.dashboard-container-3zone` | styles.css, views/factory.css |
| dashboard | `.area-card-button` | styles.css, views/marketingOps.css |
| dashboard | `.compact-empty-state` | styles.css, views/marketingOps.css |
| dashboard | `.dashboard-morning-brief-banner` | styles.css, views/factory.css |
| dashboard | `.brief-banner-section` | styles.css, views/factory.css |
| dashboard | `.brief-banner-overdue` | undefined |
| dashboard | `.brief-banner-section-label` | styles.css, views/factory.css |
| dashboard | `.brief-banner-overdue-content` | styles.css, views/factory.css |
| dashboard | `.brief-banner-overdue-count` | styles.css, views/factory.css |
| dashboard | `.brief-banner-overdue-items` | styles.css, views/factory.css |
| dashboard | `.brief-banner-overdue-item` | styles.css, views/factory.css |
| dashboard | `.brief-banner-overdue-name` | styles.css, views/factory.css |
| dashboard | `.brief-banner-top3` | undefined |
| dashboard | `.brief-banner-top3-list` | styles.css, views/factory.css |
| dashboard | `.brief-banner-top3-item` | styles.css, views/factory.css |
| dashboard | `.brief-banner-flags` | undefined |
| dashboard | `.brief-banner-flags-list` | styles.css, views/factory.css |
| dashboard | `.brief-banner-flag` | styles.css, views/factory.css |
| dashboard | `.brief-banner-flag-msg` | styles.css, views/factory.css |
| dashboard | `.brief-banner-waiting` | undefined |
| dashboard | `.dashboard-health-lanes` | styles.css, views/factory.css |
| dashboard | `.dashboard-business-health` | styles.css, views/factory.css |
| dashboard | `.dashboard-zone-header` | styles.css, views/factory.css |
| dashboard | `.dashboard-business-header-row` | styles.css, views/factory.css |
| dashboard | `.dashboard-pipeline-summary` | styles.css, views/factory.css |
| dashboard | `.dashboard-pipeline-total` | styles.css, views/factory.css |
| dashboard | `.dashboard-pipeline-legend` | styles.css, views/factory.css |
| dashboard | `.dashboard-legend-row` | styles.css, views/factory.css |
| dashboard | `.dashboard-zone-subheader` | styles.css, views/factory.css |
| dashboard | `.dashboard-mini-funnel` | styles.css, views/factory.css |
| dashboard | `.health-metric-grid` | styles.css, views/factory.css |
| dashboard | `.health-metric-card` | styles.css, views/factory.css |
| dashboard | `.health-metric-value` | styles.css, views/factory.css |
| dashboard | `.health-metric-label` | styles.css, views/factory.css |
| dashboard | `.pipeline-placeholder` | undefined |
| dashboard | `.dashboard-execution-health` | styles.css, views/factory.css |
| dashboard | `.team-workload-strip` | styles.css, views/factory.css |
| dashboard | `.workload-person` | styles.css, views/factory.css |
| dashboard | `.workload-person-name` | styles.css, views/factory.css |
| dashboard | `.workload-bar-track` | styles.css, views/factory.css |
| dashboard | `.workload-label` | styles.css, views/factory.css |
| dashboard | `.health-chip-dot` | styles.css, views/factory.css |
| dashboard | `.health-chip-name` | styles.css, views/factory.css |
| dashboard | `.health-chip-stats` | styles.css, views/factory.css |
| dashboard | `.health-chip-overdue` | styles.css, views/factory.css |
| dashboard | `.dashboard-action-zone` | styles.css, views/factory.css |
| dashboard | `.dashboard-overdue-triage` | styles.css, views/factory.css |
